claim_id,statement,value,unit,geography,period,population,lower,upper,status,confidence,source_ids,source_titles,locator,definition,method_note,license_note
global-mental-disorders-count-2021,An estimated 1.095 billion people were living with a mental disorder globally in 2021.,1095,million people,Global,2021,All ages,,,VERIFIED,high,who-world-mental-health-2025;who-mental-disorders-fact-sheet,World mental health today: latest data;Mental disorders,"World mental health today, Table 2.1; WHO Mental disorders fact sheet, opening epidemiology section","Point prevalence of GBD 2021 mental-disorder categories, adjusted for independent comorbidity but not dependent comorbidity.","Modeled estimate, not a count of diagnosed people. WHO rounds this to 1.1 billion / nearly one in seven in public-facing text.",Use as an attributed numeric claim; do not imply the underlying microdata are WHO-owned or freely redistributable.
global-mental-disorders-prevalence-2021,The age-standardized prevalence of mental disorders was estimated at 13.6% globally in 2021.,13.6,percent,Global,2021,"All ages, age-standardized",,,VERIFIED,high,who-world-mental-health-2025,World mental health today: latest data,Table 2.1,Age-standardized prevalence across the GBD 2021 mental-disorder aggregate.,"Use for global scale, not as a simple national wellbeing ranking metric.",Attributed derived numeric use only.
global-anxiety-count-2021,Anxiety disorders affected an estimated 359 million people globally in 2021.,359,million people,Global,2021,All ages,,,VERIFIED,high,who-world-mental-health-2025,World mental health today: latest data,Table 2.1,WHO table notes that the GBD anxiety category includes anxiety disorders and PTSD.,Modeled prevalence estimate.,Attributed derived numeric use only.
global-depression-count-2021,Depressive disorders affected an estimated 332 million people globally in 2021.,332,million people,Global,2021,All ages,,,VERIFIED,high,who-world-mental-health-2025,World mental health today: latest data,Table 2.1,WHO table includes major depressive disorder and dysthymia in depressive disorders.,Modeled prevalence estimate.,Attributed derived numeric use only.
mental-disorder-dalys-2021,Mental disorders accounted for an estimated 155 million DALYs globally in 2021.,155,million DALYs,Global,2021,All ages,117,198,VERIFIED,high,ihme-gbd-2021-mental-disorders,Global Health Metrics: Mental disorders—Level 2 cause (GBD 2021),"GBD 2021 Mental disorders Level 2 cause summary, opening summary",Disability-adjusted life years attributable to the GBD mental-disorders Level 2 cause.,95% uncertainty interval 117–198 million; the source says YLDs contributed to almost all mental-disorder DALYs.,Use as an attributed result under applicable IHME terms.
mental-disorder-daly-share-2021,Mental disorders accounted for about 5.4% of global DALYs in 2021.,5.4,percent of global DALYs,Global,2021,All ages,4.3,6.5,VERIFIED,high,ihme-gbd-2021-mental-disorders,Global Health Metrics: Mental disorders—Level 2 cause (GBD 2021),"GBD 2021 Mental disorders Level 2 cause summary, opening summary",Share of all-cause DALYs attributed to mental disorders in GBD 2021.,95% uncertainty interval 4.3–6.5%.,Use as an attributed result under applicable IHME terms.
mental-health-budget-share-atlas-2024,The global median share of total government health expenditure allocated to mental health was 2.1% among reporting countries.,2.1,percent of government health expenditure,Global median among reporting countries,Mental Health Atlas 2024 survey,75 countries reporting mental-health expenditure,,,VERIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; financing and workforce",Median percentage of total government health expenditure allocated to mental health among countries supplying relevant expenditure data.,The report states this was unchanged from the 2017 and 2020 Atlas estimates; response completeness varies by indicator.,WHO CC BY-NC-SA 3.0 IGO conditions apply to the report.
mental-health-spend-per-capita-global-atlas-2024,The global median government mental-health expenditure was US$2.69 per person among reporting countries.,2.69,US dollars per capita,Global median among reporting countries,Mental Health Atlas 2024 survey,75 countries reporting mental-health expenditure,,,VERIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; financing and workforce",Government mental-health expenditure per capita among reporting countries.,Income-group medians differ dramatically; use this global median only with distribution context.,WHO CC BY-NC-SA 3.0 IGO conditions apply to the report.
mental-health-spend-per-capita-lic-atlas-2024,Low-income countries reported a median government mental-health expenditure of about US$0.04 per person.,0.04,US dollars per capita,Low-income countries,Mental Health Atlas 2024 survey,Reporting countries in the World Bank low-income group,,,VERIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; financing and workforce",Income-group median government mental-health expenditure per capita.,Survey response coverage differs across indicators and countries.,WHO CC BY-NC-SA 3.0 IGO conditions apply to the report.
mental-health-spend-per-capita-hic-atlas-2024,High-income countries reported a median government mental-health expenditure of US$65.89 per person.,65.89,US dollars per capita,High-income countries,Mental Health Atlas 2024 survey,Reporting countries in the World Bank high-income group,,,VERIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; financing and workforce",Income-group median government mental-health expenditure per capita.,Survey response coverage differs across indicators and countries.,WHO CC BY-NC-SA 3.0 IGO conditions apply to the report.
mental-health-workforce-global-atlas-2024,"The global median specialized mental-health workforce was 13.5 workers per 100,000 people.",13.5,"workers per 100,000 population",Global median among responding countries,Mental Health Atlas 2024 survey,General population in responding countries,,,VERIFIED,high,who-atlas-2024;who-gho-mental-health-workforce,Mental Health Atlas 2024;WHO Global Health Observatory — mental health service availability: human resources,"Mental Health Atlas 2024 executive summary, p. 3; WHO GHO human-resources indicator group","Specialized mental-health workers per 100,000 population.",Use Atlas 2024 for the survey-cycle global median and GHO/country profiles for country-level observations.,WHO reuse terms apply.
mental-health-workforce-lic-lmic-atlas-2024,"The Atlas reports only about 1.1–2.4 specialized mental-health workers per 100,000 people in low- and lower-middle-income country groups.",2.4,"workers per 100,000 population (upper end of reported income-group range)",Low- and lower-middle-income country groups,Mental Health Atlas 2024 survey,General population in responding countries,1.1,2.4,QUALIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; financing and workforce","Income-group medians/range for specialized mental-health workers per 100,000 population.",The report presents the low-income and lower-middle-income values as a 1.1–2.4 range in its summary; retain the range rather than collapsing it to one point estimate.,WHO reuse terms apply.
mental-health-workforce-hic-atlas-2024,"High-income countries reported a median 67.2 specialized mental-health workers per 100,000 people.",67.2,"workers per 100,000 population",High-income countries,Mental Health Atlas 2024 survey,General population in responding countries,,,VERIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; financing and workforce","Income-group median specialized mental-health workforce per 100,000 population.","Compare with low-income groups only as a health-system capacity indicator, not as a direct measure of care quality.",WHO reuse terms apply.
community-care-full-transition-atlas-2024,Fewer than 10% of responding countries had fully moved from institutional models to community-based mental-health care.,10,percent (upper bound),Global,Mental Health Atlas 2024 survey,Responding countries,,10,QUALIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; mental health services",Countries assessed as fully transitioned from institutional-based to community-based service models.,"The source reports an inequality, not an exact percentage; retain 'fewer than 10%' in prose.",WHO reuse terms apply.
community-care-early-transition-atlas-2024,52.9% of responding countries remained in an early stage of transition toward community-based mental-health care.,52.9,percent of responding countries,Global,Mental Health Atlas 2024 survey,Responding countries,,,VERIFIED,high,who-atlas-2024,Mental Health Atlas 2024,"Executive summary, p. 3; mental health services",Countries classified in the Atlas as remaining in an early stage of service transition.,"A systems-reform indicator, not a patient-level outcome.",WHO reuse terms apply.
psychosis-service-coverage-atlas-2024,Psychosis service coverage was estimated at about 40% in the small set of countries with sufficiently complete data.,40,percent of people with psychosis,Global estimate from reporting subset,Mental Health Atlas 2024 survey,People with psychosis in 22 countries with sufficient data,,,QUALIFIED,medium,who-atlas-2024,Mental Health Atlas 2024,Table 34 / executive summary service coverage section,"Estimated proportion of people with psychosis who received services, derived from treated prevalence divided by estimated psychosis prevalence.",The Atlas explicitly says the estimate is indicative rather than definitive because only 22 countries provided sufficient data. Table 34 gives mean 41% and median 40%; use 40% as the report's summary figure.,WHO reuse terms apply.
psychosis-formal-care-fact-sheet-2020-basis,"A WHO fact sheet states that only 29% of people with psychosis receive formal mental-health care, citing Mental Health Atlas 2020.",29,percent of people with psychosis,Global synthesis,Mental Health Atlas 2020 basis,People with psychosis,,,QUALIFIED,medium,who-mental-disorders-fact-sheet,Mental disorders,Health systems and social support section,Formal mental-health care coverage for people with psychosis as summarized by WHO using Atlas 2020 evidence.,"Do not present this as a directly comparable predecessor to the Atlas 2024 40% estimate; coverage definitions, source years and country samples differ.",WHO reuse terms apply.
mdd-mental-health-service-hic,Modeled mental-health service use for major depressive disorder was 33% in high-income locations.,33,percent of MDD cases,High-income locations,Studies with data from 2000–2019; review published 2022,People meeting study criteria for major depressive disorder,8,66,VERIFIED,medium,plos-mdd-treatment-gap-2022,The global gap in treatment coverage for major depressive disorder in 84 countries from 2000–2019: A systematic review and Bayesian meta-regression analysis,Abstract / Author summary; predicted treatment rates by income group,Estimated proportion of MDD cases using mental-health services.,Bayesian meta-regression; 95% uncertainty interval 8–66%.,CC BY; cite the article.
mdd-mental-health-service-low-lmic,Modeled mental-health service use for major depressive disorder was 8% in low- and lower-middle-income locations.,8,percent of MDD cases,Low- and lower-middle-income locations,Studies with data from 2000–2019; review published 2022,People meeting study criteria for major depressive disorder,0,36,QUALIFIED,medium,plos-mdd-treatment-gap-2022,The global gap in treatment coverage for major depressive disorder in 84 countries from 2000–2019: A systematic review and Bayesian meta-regression analysis,Abstract / Author summary; predicted treatment rates by income group,Estimated proportion of MDD cases using mental-health services.,"Bayesian meta-regression; lower 95% uncertainty bound was reported as <1%, upper bound 36%. Sparse low-resource data are a major limitation.",CC BY; cite the article.
mdd-minimally-adequate-treatment-hic,Minimally adequate treatment for major depressive disorder was estimated at 23% in high-income locations.,23,percent of MDD cases,High-income locations,Studies with data from 2000–2019; review published 2022,People meeting study criteria for major depressive disorder,2,55,QUALIFIED,medium,plos-mdd-treatment-gap-2022,The global gap in treatment coverage for major depressive disorder in 84 countries from 2000–2019: A systematic review and Bayesian meta-regression analysis,Abstract / Author summary,Modeled share of MDD cases receiving minimally adequate treatment under the review's harmonized definitions.,95% uncertainty interval 2–55%; definitions of minimally adequate treatment vary and were harmonized by the review.,CC BY; cite the article.
mdd-minimally-adequate-treatment-low-lmic,Minimally adequate treatment for major depressive disorder was estimated at 3% in low- and lower-middle-income locations.,3,percent of MDD cases,Low- and lower-middle-income locations,Studies with data from 2000–2019; review published 2022,People meeting study criteria for major depressive disorder,0,25,QUALIFIED,medium,plos-mdd-treatment-gap-2022,The global gap in treatment coverage for major depressive disorder in 84 countries from 2000–2019: A systematic review and Bayesian meta-regression analysis,Abstract / Author summary,Modeled share of MDD cases receiving minimally adequate treatment under the review's harmonized definitions.,"Lower 95% uncertainty bound was reported as <1%, upper bound 25%; low-resource evidence is sparse.",CC BY; cite the article.
